pdb,ligand_file,chembl_id,tanimoto_index,smiles
1owh,1c5z_ligand_similar_24,CHEMBL286317,0.65,c12c(c(c3c(c1C)c1c(cc3)cccc1)C)ccc1c2cccc1
1owh,1owh_ligand_similar_1031,CHEMBL1580702,0.626667,O=C(Nc1cc(O)ccc1)c1cc(C(=O)Nc2cc(O)ccc2)ccc1
1owh,1owh_ligand_similar_1040,CHEMBL1213773,0.626667,C(=O)(Nc1ccc(cc1)OC)c1cc(ccc1)C
1owh,1owh_ligand_similar_1048,CHEMBL1548673,0.626506,O=C(Nc1c(C(=O)O)cccc1)c1ccc(NC(=O)C2CC2)cc1
1owh,1owh_ligand_similar_106,CHEMBL1724652,0.680556,O=C(Nc1c2c(ccc1)cccc2)c1ccc([N+](=O)[O-])cc1
1owh,1owh_ligand_similar_1075,CHEMBL1331298,0.625,O(c1ccc(NC(=O)c2ccccc2)cc1)Cc1ccccc1
1owh,1owh_ligand_similar_1097,CHEMBL1735538,0.623377,O=C(Nc1cc2c(cc1)cccc2)c1c(NC(=O)N)cccc1
1owh,1owh_ligand_similar_11,CHEMBL3794554,0.859649,NC(=O)c1ccc(NC(=O)c2ccccc2)cc1
1owh,1owh_ligand_similar_1116,CHEMBL294267,0.571429,c1(C(=O)Nc2ccc([N+](=O)[O-])cc2)cc2c(cc1O)cccc2
1owh,1owh_ligand_similar_1118,CHEMBL237164,0.623377,COc1cccc(NC(=O)c2ccc(cc2)C(=O)Nc2cccc(OC)c2)c1
1owh,1owh_ligand_similar_1129,CHEMBL3343510,0.622951,c1ccc2c(c1)cc(cc2)Nc1ccc(cc1)C(=O)N
1owh,1owh_ligand_similar_113,CHEMBL1477242,0.75,O=C(Nc1c2c(c(N(C)C)cc1)cccc2)c1c(cccc1)C
1owh,1owh_ligand_similar_1131,CHEMBL3692068,0.621951,COC(=O)c1ccc2cc(ccc2c1)C(=O)Nc1cc(cc(c1)C(=O)OC)C(=O)OC
1owh,1owh_ligand_similar_1135,CHEMBL1851801,0.62069,o1c(ccc1)C(=O)Nc1ccc(cc1)C(=N)N
1owh,1owh_ligand_similar_1144,CHEMBL1729834,0.620253,O=C1N(c2ccc(C(=O)Nc3ccc(cc3)C(=O)C)cc2)CCC1
1owh,1owh_ligand_similar_1156,CHEMBL315334,0.620253,C(=O)(Nc1ccc(cc1)CCCC(=O)O)c1ccccc1
1owh,1owh_ligand_similar_1177,CHEMBL3188245,0.618421,O=C(Nc1cc(NC(=O)c2ccccc2)ccc1)c1ccncc1
1owh,1owh_ligand_similar_1187,CHEMBL1413475,0.618421,FC(F)(F)c1cc(C(=O)Nc2c(cccc2)C)ccc1
1owh,1owh_ligand_similar_1191,CHEMBL1222726,0.618421,c1(c(cc(cc1)NC(=O)c1cccc(c1)Cl)Cl)Cl
1owh,1owh_ligand_similar_12,CHEMBL1444056,0.859649,O=C(N(c1ccccc1)C)c1ccc(NC(=O)C)cc1
