pdb,ligand_file,chembl_id,tanimoto_index
4crc,4crc_ligand_similar_77,CHEMBL3398642,0.627706
4crc,4cra_ligand_similar_145,CHEMBL3984836,0.606897
4crc,4crc_ligand_similar_37,CHEMBL4101257,0.6875
4crc,4cr9_ligand_similar_72,CHEMBL3040356,0.659091
4crc,4cr9_ligand_similar_191,CHEMBL1882875,0.603774
4crc,4ty7_ligand_similar_44,CHEMBL3398638,0.683983
4crc,4cra_ligand_similar_66,CHEMBL2355019,0.627586
4crc,4ty7_ligand_similar_32,CHEMBL3398634,0.734884
4crc,4cr9_ligand_similar_63,CHEMBL2011274,0.666667
4crc,4ty7_ligand_similar_50,CHEMBL3398636,0.678112
4crc,4cr9_ligand_similar_115,CHEMBL367322,0.62963
4crc,4ty7_ligand_similar_97,CHEMBL3947788,0.615023
4crc,4cra_ligand_similar_72,CHEMBL323627,0.627451
4crc,4cra_ligand_similar_155,CHEMBL1418289,0.577181
4crc,4cr9_ligand_similar_102,CHEMBL2355256,0.634615
4crc,4cr9_ligand_similar_16,CHEMBL586657,0.732143
4crc,4cra_ligand_similar_43,CHEMBL231787,0.635135
4crc,4cr9_ligand_similar_35,CHEMBL61743,0.697674
4crc,4ty7_ligand_similar_109,CHEMBL2448573,0.605
4crc,4cr9_ligand_similar_114,CHEMBL1288700,0.62963
4crc,4cra_ligand_similar_99,CHEMBL115456,0.617834
4crc,4cra_ligand_similar_8,CHEMBL400016,0.658385
4crc,4crc_ligand_similar_67,CHEMBL4068445,0.639676
4crc,4cr9_ligand_similar_68,CHEMBL4116982,0.66
4crc,4crc_ligand_similar_27,CHEMBL4081328,0.716279
4crc,4ty7_ligand_similar_85,CHEMBL1259009,0.630435
4crc,4cr9_ligand_similar_71,CHEMBL1329793,0.659574
4crc,4cra_ligand_similar_122,CHEMBL323854,0.611465
4crc,4x6p_ligand_similar_19,CHEMBL4067274,0.68
4crc,4cr9_ligand_similar_70,CHEMBL3623240,0.659574
4crc,4cra_ligand_similar_142,CHEMBL56289,0.607595
4crc,4cra_ligand_similar_91,CHEMBL231750,0.62069
4crc,4cra_ligand_similar_90,CHEMBL231751,0.62069
4crc,4crc_ligand_similar_87,CHEMBL3580665,0.608696
4crc,4cra_ligand_similar_37,CHEMBL113041,0.635762
4crc,4x6p_ligand_similar_31,CHEMBL4104659,0.651685
4crc,4crc_ligand_similar_55,CHEMBL4084801,0.65812
4crc,4ty7_ligand_similar_36,CHEMBL3547638,0.707865
4crc,4ty7_ligand_similar_38,CHEMBL3547637,0.701657
4crc,4crc_ligand_similar_13,CHEMBL3753890,0.867021
4crc,4ty7_ligand_similar_103,CHEMBL3547513,0.608696
4crc,4ty7_ligand_similar_41,CHEMBL3547512,0.690217
4crc,4cra_ligand_similar_95,CHEMBL250020,0.62
4crc,4crc_ligand_similar_64,CHEMBL4082994,0.643443
4crc,4cr9_ligand_similar_139,CHEMBL1527819,0.622642
4crc,4x6p_ligand_similar_67,CHEMBL3972737,0.62963
4crc,4cr9_ligand_similar_85,CHEMBL357429,0.645833
4crc,4x6p_ligand_similar_102,CHEMBL4062923,0.606498
4crc,4x6p_ligand_similar_49,CHEMBL4080459,0.634981
4crc,4cra_ligand_similar_12,CHEMBL291634,0.657343
4crc,4cra_ligand_similar_3,CHEMBL153996,0.685714
4crc,4cr9_ligand_similar_95,CHEMBL61939,0.64
4crc,4cr9_ligand_similar_195,CHEMBL441824,0.603448
4crc,4cr9_ligand_similar_135,CHEMBL598576,0.622951
4crc,4x6p_ligand_similar_23,CHEMBL3580761,0.675472
4crc,4cr9_ligand_similar_177,CHEMBL1181124,0.607143
4crc,4cra_ligand_similar_88,CHEMBL393815,0.62069
4crc,4cr9_ligand_similar_182,CHEMBL357856,0.604651
4crc,4cra_ligand_similar_162,CHEMBL319165,0.604027
4crc,4cra_ligand_similar_23,CHEMBL1819340,0.642857
4crc,4cr9_ligand_similar_146,CHEMBL1445565,0.618182
4crc,4ty7_ligand_similar_75,CHEMBL366311,0.640625
4crc,4cra_ligand_similar_138,CHEMBL437436,0.608108
4crc,4cra_ligand_similar_38,CHEMBL68225,0.635762
4crc,4crc_ligand_similar_75,CHEMBL4063912,0.630522
4crc,4cra_ligand_similar_144,CHEMBL352030,0.607143
4crc,4ty7_ligand_similar_69,CHEMBL3580751,0.654709
4crc,4cr9_ligand_similar_43,CHEMBL1173640,0.688889
4crc,4cra_ligand_similar_26,CHEMBL474618,0.608392
4crc,4ty7_ligand_similar_57,CHEMBL3580752,0.669643
4crc,4cr9_ligand_similar_142,CHEMBL2097929,0.621212
4crc,4crc_ligand_similar_54,CHEMBL4068006,0.660944
4crc,4ty7_ligand_similar_5,CHEMBL3398620,1
4crc,4ty7_ligand_similar_4,CHEMBL3398621,1
4crc,4crc_ligand_similar_29,CHEMBL4095863,0.711628
4crc,4cra_ligand_similar_56,CHEMBL308374,0.631579
4crc,4cra_ligand_similar_55,CHEMBL308375,0.631579
4crc,4ty7_ligand_similar_34,CHEMBL3398619,0.71179
4crc,4ty7_ligand_similar_15,CHEMBL3398616,0.830918
4crc,4cra_ligand_similar_61,CHEMBL1819338,0.629139
4crc,4crc_ligand_similar_61,CHEMBL4081335,0.649573
4crc,4ty7_ligand_similar_10,CHEMBL3398617,0.842932
4crc,4cra_ligand_similar_27,CHEMBL1819339,0.611111
4crc,4ty7_ligand_similar_2,CHEMBL3398613,1
4crc,4ty7_ligand_similar_9,CHEMBL3398614,0.842932
4crc,4cra_ligand_similar_24,CHEMBL3754781,0.642458
4crc,4ty7_ligand_similar_22,CHEMBL3398630,0.770732
4crc,4ty7_ligand_similar_24,CHEMBL3398631,0.766667
4crc,4crc_ligand_similar_63,CHEMBL4072510,0.644351
4crc,4ty7_ligand_similar_31,CHEMBL3398632,0.738318
4crc,4cr9_ligand_similar_147,CHEMBL3305004,0.552239
4crc,4ty7_ligand_similar_86,CHEMBL186527,0.630208
4crc,4cra_ligand_similar_89,CHEMBL231961,0.62069
4crc,4x6p_ligand_similar_86,CHEMBL4071545,0.619926
4crc,4x6p_ligand_similar_41,CHEMBL4059685,0.636364
4crc,4cra_ligand_similar_85,CHEMBL1733769,0.583893
4crc,4cra_ligand_similar_58,CHEMBL249238,0.630769
4crc,4cra_ligand_similar_17,CHEMBL152425,0.646667
4crc,4ty7_ligand_similar_26,CHEMBL3398626,0.763033
4crc,4x6p_ligand_similar_101,CHEMBL4083769,0.606498
4crc,4ty7_ligand_similar_21,CHEMBL3398627,0.781553
4crc,4ty7_ligand_similar_20,CHEMBL3398628,0.78607
4crc,4ty7_ligand_similar_29,CHEMBL3398629,0.745283
4crc,4cr9_ligand_similar_31,CHEMBL536691,0.698113
4crc,4cra_ligand_similar_179,CHEMBL3915715,0.602484
4crc,4ty7_ligand_similar_11,CHEMBL3398623,0.842932
4crc,4cra_ligand_similar_114,CHEMBL2418649,0.614458
4crc,4cra_ligand_similar_82,CHEMBL475645,0.623188
4crc,4cr9_ligand_similar_166,CHEMBL3133271,0.611111
4crc,4cra_ligand_similar_169,CHEMBL2418645,0.60355
4crc,4cr9_ligand_similar_81,CHEMBL1730862,0.647059
4crc,4x6p_ligand_similar_44,CHEMBL4101766,0.634981
4crc,4cr9_ligand_similar_136,CHEMBL4084782,0.622642
4crc,4ty7_ligand_similar_78,CHEMBL500254,0.633803
4crc,4x6p_ligand_similar_53,CHEMBL4059590,0.634981
4crc,4cr9_ligand_similar_129,CHEMBL2008700,0.625
4crc,4cra_ligand_similar_15,CHEMBL33537,0.618056
4crc,4cr9_ligand_similar_198,CHEMBL3736594,0.602941
